ticket_id,account_id,customer_segment,uk_region,support_channel,product_area,issue_category,priority_initial,submitted_at,day_of_week,hour_of_day,customer_tenure_months,contract_value_gbp,previous_tickets_90d,avg_sentiment_score,customer_message,message_length,contains_urgent_keyword,contains_refund_keyword,agent_queue_length_at_submit,assigned_agent,agent_experience_months,backlog_age_hours,first_response_minutes,reopened_last_90d,resolved_at,escalated_prior_to_resolution,resolution_hours,final_priority,sla_breached
TCK-202500000,ACC-93810,SMB,Wales,Email,Reporting,service_outage,Critical,2025-09-06 18:51:00,Saturday,18,40,7522.08,2,-0.059,Client asks for urgent support regarding service outage; impact: an integration partner is blocked. ASAP.,105,1,0,5,Amelia,6,13.11,62,0,2025-09-07 20:56:43,1,26.1,Critical,1
TCK-202500001,ACC-82357,SMB,East Midlands,Web,Billing,data_quality,Medium,2026-02-27 08:29:00,Friday,8,39,5961.51,1,0.232,The user cannot complete a workflow in Billing. Error appears during data quality.,82,0,0,33,Isla,30,8.35,289,0,2026-02-28 05:55:43,0,21.45,Medium,0
TCK-202500002,ACC-45093,SMB,East Midlands,Web,API Integration,access_request,Medium,2025-10-19 05:16:00,Sunday,5,,12098.44,1,0.711,Ticket raised through support queue for API Integration; customer notes access request and asks for next steps.,111,0,0,38,Muhammad,19,11.28,215,0,2025-10-19 17:38:32,0,12.38,Medium,0
TCK-202500003,ACC-44973,Enterprise,Northern Ireland,Web,Workflow Automation,how_to,Critical,2025-12-01 03:05:00,Monday,3,29,23198.54,0,-0.567,Customer reports how to in Workflow Automation. They need help because a compliance deadline is near.,101,0,0,23,Isla,25,20.45,261,0,2025-12-01 10:42:39,1,7.63,Critical,1
TCK-202500004,ACC-26483,SMB,South West,Email,Security,performance,High,2026-01-16 11:48:00,Friday,11,26,15328.55,0,-0.296,Customer reports performance in Security. They need help because payment processing is blocked. deadline.,105,1,0,30,Harry,35,0.06,139,0,2026-01-16 23:11:33,0,11.39,High,0
TCK-202500005,ACC-22704,Mid-Market,Northern Ireland,Web,Reporting,bug,High,2025-11-13 07:04:00,Thursday,7,23,7173.31,0,-0.875,Customer reports bug in Reporting. They need help because payment processing is blocked.,88,0,0,37,Isla,34,0.63,136,0,2025-11-14 01:22:50,0,18.31,High,0
TCK-202500006,ACC-61173,SMB,South West,Phone,Mobile App,access_request,Medium,2025-10-05 13:40:00,Sunday,13,14,16662.45,2,1,The user cannot complete a workflow in Mobile App. Error appears during access request.,87,0,0,0,Ava,19,25.91,14,0,2025-10-06 18:53:26,0,29.22,Medium,0
TCK-202500007,ACC-51180,SMB,South East,Phone,Workflow Automation,bug,High,2025-12-23 01:53:00,Tuesday,1,87,4070.16,6,0.033,Customer reports bug in Workflow Automation. They need help because the issue affects only one user.,100,0,0,41,Muhammad,10,14.35,113,1,2025-12-23 17:37:39,0,15.74,High,0
TCK-202500008,ACC-36685,Mid-Market,Wales,Email,Billing,data_quality,High,2025-09-09 00:37:00,Tuesday,0,58,16967.11,2,0.07,Account team escalated a customer case connected to Billing. Main issue: data quality.,86,0,0,27,Ava,20,17.17,130,0,2025-09-10 04:48:49,1,28.2,High,1
TCK-202500009,ACC-63264,Public Sector,West Midlands,Email,Mobile App,billing_query,Critical,2025-10-03 15:38:00,Friday,15,26,7572.67,5,-0.416,Client asks for urgent support regarding billing query; impact: the customer is threatening cancellation.,105,0,0,54,Sophie,45,13.74,230,0,2025-10-05 07:47:19,1,40.16,Critical,1
