ticket_id,account_id,customer_segment,uk_region,support_channel,product_area,issue_category,priority_initial,submitted_at,day_of_week,hour_of_day,customer_tenure_months,contract_value_gbp,previous_tickets_90d,avg_sentiment_score,customer_message,message_length,contains_urgent_keyword,contains_refund_keyword,agent_queue_length_at_submit,assigned_agent,agent_experience_months,backlog_age_hours,first_response_minutes,reopened_last_90d,resolved_at,escalated_prior_to_resolution,resolution_hours,final_priority,sla_breached
TCK-202500000,ACC-93810,SMB,Wales,email,Reporting,service_outage,Critical,2025-09-06 18:51:00,Saturday,18,40.0,7522.08,2,-0.059,Client asks for urgent support regarding service outage; impact: an integration partner is blocked. ASAP.,105,1,0,5.0,Amelia,6,13.11,62,0,2025-09-07 20:56:43,1,26.1,Critical,1
TCK-202500001,ACC-82357,SMB,East Midlands,web,Billing,data_quality,Medium,2026-02-27 08:29:00,Friday,8,39.0,5961.51,1,0.232,The user cannot complete a workflow in Billing. Error appears during data quality.,82,0,0,33.0,Isla,30,8.35,289,0,2026-02-28 05:55:43,0,21.45,Medium,0
TCK-202500002,ACC-45093,SMB,East Midlands,web,Api Integration,access_request,Medium,2025-10-19 05:16:00,Sunday,5,27.0,12098.44,1,0.711,Ticket raised through support queue for API Integration; customer notes access request and asks for next steps.,111,0,0,38.0,Muhammad,19,11.28,215,0,2025-10-19 17:38:32,0,12.38,Medium,0
TCK-202500003,ACC-44973,Enterprise,Northern Ireland,web,Workflow Automation,how_to,Critical,2025-12-01 03:05:00,Monday,3,29.0,23198.54,0,-0.567,Customer reports how to in Workflow Automation. They need help because a compliance deadline is near.,101,0,0,23.0,Isla,25,20.45,261,0,2025-12-01 10:42:39,1,7.63,Critical,1
TCK-202500004,ACC-26483,SMB,South West,email,Security,performance,High,2026-01-16 11:48:00,Friday,11,26.0,15328.55,0,-0.296,Customer reports performance in Security. They need help because payment processing is blocked. deadline.,105,1,0,30.0,Harry,35,0.06,139,0,2026-01-16 23:11:33,0,11.39,High,0
TCK-202500005,ACC-22704,Mid-Market,Northern Ireland,web,Reporting,bug,High,2025-11-13 07:04:00,Thursday,7,23.0,7173.31,0,-0.875,Customer reports bug in Reporting. They need help because payment processing is blocked.,88,0,0,37.0,Isla,34,0.63,136,0,2025-11-14 01:22:50,0,18.31,High,0
TCK-202500006,ACC-61173,SMB,South West,phone,Mobile App,access_request,Medium,2025-10-05 13:40:00,Sunday,13,14.0,16662.45,2,1.0,The user cannot complete a workflow in Mobile App. Error appears during access request.,87,0,0,0.0,Ava,19,25.91,14,0,2025-10-06 18:53:26,0,29.22,Medium,0
TCK-202500007,ACC-51180,SMB,South East,phone,Workflow Automation,bug,High,2025-12-23 01:53:00,Tuesday,1,87.0,4070.16,6,0.033,Customer reports bug in Workflow Automation. They need help because the issue affects only one user.,100,0,0,41.0,Muhammad,10,14.35,113,1,2025-12-23 17:37:39,0,15.74,High,0
TCK-202500008,ACC-36685,Mid-Market,Wales,email,Billing,data_quality,High,2025-09-09 00:37:00,Tuesday,0,58.0,16967.11,2,0.07,Account team escalated a customer case connected to Billing. Main issue: data quality.,86,0,0,27.0,Ava,20,17.17,130,0,2025-09-10 04:48:49,1,28.2,High,1
TCK-202500009,ACC-63264,Public Sector,West Midlands,email,Mobile App,billing_query,Critical,2025-10-03 15:38:00,Friday,15,26.0,7572.67,5,-0.416,Client asks for urgent support regarding billing query; impact: the customer is threatening cancellation.,105,0,0,54.0,Sophie,45,13.74,230,0,2025-10-05 07:47:19,1,40.16,Critical,1
TCK-202500010,ACC-44795,SMB,East Midlands,phone,Security,billing_query,High,2025-12-14 23:09:00,Sunday,23,29.0,11764.56,8,0.196,Client asks for urgent support regarding billing query; impact: payment processing is blocked.,94,0,0,29.0,Isla,10,23.79,80,0,2025-12-16 03:59:31,1,28.84,High,1
TCK-202500011,ACC-81819,Enterprise,Wales,web,Reporting,billing_query,Critical,2025-10-09 21:40:00,Thursday,21,0.0,103418.89,0,-0.009,Ticket raised through support queue for Reporting; customer notes billing query and asks for next steps. blocked.,113,1,0,41.0,Noah,16,13.14,137,0,2025-10-10 16:57:12,1,19.29,Critical,1
TCK-202500012,ACC-33053,Enterprise,Yorkshire,web,Billing,access_request,Critical,2025-12-06 16:33:00,Saturday,16,52.0,112478.99,2,-0.003,Ticket raised through support queue for Billing; customer notes access request and asks for next steps.,103,0,0,71.0,Amelia,6,11.15,282,0,2025-12-07 22:36:48,1,30.06,Critical,1
TCK-202500013,ACC-64377,SMB,Yorkshire,email,Account Access,refund_request,High,2025-09-04 13:20:00,Thursday,13,47.0,6672.97,1,-1.0,The user cannot complete a workflow in Account Access. Error appears during refund request. deadline. Customer mentions invoice correction.,139,1,1,9.0,Sophie,14,1.98,89,1,2025-09-05 15:56:01,1,26.6,High,1
TCK-202500014,ACC-37742,Mid-Market,Northern Ireland,web,Mobile App,bug,Critical,2025-09-04 12:41:00,Thursday,12,27.0,28268.95,9,-0.12,Customer reports bug in Mobile App. They need help because a compliance deadline is near.,89,0,0,33.0,Mia,20,14.62,244,0,2025-09-06 00:18:48,1,35.63,Critical,1
TCK-202500015,ACC-50888,Mid-Market,South East,chat,Billing,performance,Critical,2025-12-19 07:14:00,Friday,7,38.0,14595.45,3,-0.822,Ticket raised through support queue for Billing; customer notes performance and asks for next steps.,100,0,0,50.0,Leo,28,4.36,225,0,2025-12-19 23:53:20,1,16.66,Critical,1
TCK-202500016,ACC-21359,SMB,South West,web,Account Access,performance,Medium,2025-10-04 02:28:00,Saturday,2,11.0,7608.67,2,0.088,Ticket raised through support queue for account access; customer notes performance and asks for next steps.,107,0,0,19.0,Isla,19,4.17,106,0,2025-10-05 04:16:26,0,25.81,Medium,0
TCK-202500017,ACC-53357,SMB,South West,email,Payments,access_request,High,2026-01-17 18:03:00,Saturday,18,23.0,17800.48,2,-0.009,Client asks for urgent support regarding access request; impact: a senior stakeholder is waiting.,97,0,0,60.0,Grace,16,3.58,236,0,2026-01-18 18:03:44,1,24.01,High,1
TCK-202500018,ACC-43092,Public Sector,South West,email,Security,bug,Critical,2026-01-26 15:56:00,Monday,15,13.0,138625.9,2,-0.12,The user cannot complete a workflow in Security. Error appears during bug.,74,0,0,36.0,Noah,24,2.92,172,1,2026-01-27 17:25:13,1,25.49,Critical,1
TCK-202500019,ACC-69510,SMB,Scotland,chat,Reporting,billing_query,Medium,2025-12-09 03:13:00,Tuesday,3,29.0,4208.41,2,0.342,Ticket raised through support queue for Reporting; customer notes billing query and asks for next steps. Customer mentions invoice correction.,142,0,1,46.0,Muhammad,1,5.06,206,1,2025-12-10 06:35:12,0,27.37,Medium,0
TCK-202500020,ACC-98117,Enterprise,East Midlands,chat,Reporting,how_to,Critical,2025-12-16 13:20:00,Tuesday,13,0.0,189477.73,0,0.424,Ticket raised through support queue for Reporting; customer notes how to and asks for next steps.,97,0,0,38.0,Ava,32,8.69,178,0,2025-12-17 06:42:43,1,17.38,Critical,1
