customer_segment,uk_region,support_channel,product_area,issue_category,priority_initial,day_of_week,hour_of_day,customer_tenure_months,contract_value_gbp,previous_tickets_90d,avg_sentiment_score,message_length,contains_urgent_keyword,contains_refund_keyword,agent_queue_length_at_submit,assigned_agent,agent_experience_months,backlog_age_hours,first_response_minutes,reopened_last_90d,submitted_hour,submitted_dayofweek_num,submitted_month,is_weekend,contract_value_log1p,queue_pressure,negative_sentiment_flag,high_backlog_flag,message_word_count,message_has_deadline,sla_breached,resolution_hours
SMB,Wales,email,Reporting,service_outage,Critical,Saturday,18,40.0,7522.08,2,-0.059,105,1,0,5.0,Amelia,6,13.11,62,0,18.0,5.0,9.0,1,8.925730907559243,0.7142857142857143,0,0,15,1,1,26.1
SMB,East Midlands,web,Billing,data_quality,Medium,Friday,8,39.0,5961.51,1,0.232,82,0,0,33.0,Isla,30,8.35,289,0,8.0,4.0,2.0,0,8.693246812344038,1.064516129032258,0,0,13,0,0,21.45
SMB,East Midlands,web,Api Integration,access_request,Medium,Sunday,5,27.0,12098.44,1,0.711,111,0,0,38.0,Muhammad,19,11.28,215,0,5.0,6.0,10.0,1,9.400914449522098,1.9,0,0,17,0,0,12.38
Enterprise,Northern Ireland,web,Workflow Automation,how_to,Critical,Monday,3,29.0,23198.54,0,-0.567,101,0,0,23.0,Isla,25,20.45,261,0,3.0,0.0,12.0,0,10.051887729871625,0.8846153846153846,1,1,16,1,1,7.63
SMB,South West,email,Security,performance,High,Friday,11,26.0,15328.55,0,-0.296,105,1,0,30.0,Harry,35,0.06,139,0,11.0,4.0,1.0,0,9.637537617227581,0.8333333333333334,0,0,14,1,0,11.39
Mid-Market,Northern Ireland,web,Reporting,bug,High,Thursday,7,23.0,7173.31,0,-0.875,88,0,0,37.0,Isla,34,0.63,136,0,7.0,3.0,11.0,0,8.878261868756068,1.0571428571428572,1,0,13,1,0,18.31
SMB,South West,phone,Mobile App,access_request,Medium,Sunday,13,14.0,16662.45,2,1.0,87,0,0,0.0,Ava,19,25.91,14,0,13.0,6.0,10.0,1,9.720972977115277,0.0,0,1,14,0,0,29.22
SMB,South East,phone,Workflow Automation,bug,High,Tuesday,1,87.0,4070.16,6,0.033,100,0,0,41.0,Muhammad,10,14.35,113,1,1.0,1.0,12.0,0,8.311683250113367,3.727272727272727,0,1,16,0,0,15.74
Mid-Market,Wales,email,Billing,data_quality,High,Tuesday,0,58.0,16967.11,2,0.07,86,0,0,27.0,Ava,20,17.17,130,0,0.0,1.0,9.0,0,9.739090979014641,1.2857142857142858,0,1,13,0,1,28.2
Public Sector,West Midlands,email,Mobile App,billing_query,Critical,Friday,15,26.0,7572.67,5,-0.416,105,0,0,54.0,Sophie,45,13.74,230,0,15.0,4.0,10.0,0,8.93243303740427,1.173913043478261,1,1,14,1,1,40.16
SMB,East Midlands,phone,Security,billing_query,High,Sunday,23,29.0,11764.56,8,0.196,94,0,0,29.0,Isla,10,23.79,80,0,23.0,6.0,12.0,1,9.372931898838706,2.6363636363636362,0,1,13,1,1,28.84
Enterprise,Wales,web,Reporting,billing_query,Critical,Thursday,21,0.0,103418.89,0,-0.009,113,1,0,41.0,Noah,16,13.14,137,0,21.0,3.0,10.0,0,11.546552582325589,2.411764705882353,0,0,17,1,1,19.29
Enterprise,Yorkshire,web,Billing,access_request,Critical,Saturday,16,52.0,112478.99,2,-0.003,103,0,0,71.0,Amelia,6,11.15,282,0,16.0,5.0,12.0,1,11.630530618139794,10.142857142857142,0,0,16,0,1,30.06
SMB,Yorkshire,email,Account Access,refund_request,High,Thursday,13,47.0,6672.97,1,-1.0,139,1,1,9.0,Sophie,14,1.98,89,1,13.0,3.0,9.0,0,8.805970164245778,0.6,1,0,19,1,1,26.6
Mid-Market,Northern Ireland,web,Mobile App,bug,Critical,Thursday,12,27.0,28268.95,9,-0.12,89,0,0,33.0,Mia,20,14.62,244,0,12.0,3.0,9.0,0,10.249554682026716,1.5714285714285714,0,1,15,1,1,35.63
Mid-Market,South East,chat,Billing,performance,Critical,Friday,7,38.0,14595.45,3,-0.822,100,0,0,50.0,Leo,28,4.36,225,0,7.0,4.0,12.0,0,9.588533627445576,1.7241379310344827,1,0,15,0,1,16.66
SMB,South West,web,Account Access,performance,Medium,Saturday,2,11.0,7608.67,2,0.088,107,0,0,19.0,Isla,19,4.17,106,0,2.0,5.0,10.0,1,8.937175085920742,0.95,0,0,16,0,0,25.81
SMB,South West,email,Payments,access_request,High,Saturday,18,23.0,17800.48,2,-0.009,97,0,0,60.0,Grace,16,3.58,236,0,18.0,5.0,1.0,1,9.787036878891149,3.5294117647058822,0,0,14,1,1,24.01
Public Sector,South West,email,Security,bug,Critical,Monday,15,13.0,138625.9,2,-0.12,74,0,0,36.0,Noah,24,2.92,172,1,15.0,0.0,1.0,0,11.83954143060022,1.44,0,0,12,0,1,25.49
SMB,Scotland,chat,Reporting,billing_query,Medium,Tuesday,3,29.0,4208.41,2,0.342,142,0,1,46.0,Muhammad,1,5.06,206,1,3.0,1.0,12.0,0,8.345077774337732,23.0,0,0,20,0,0,27.37
Enterprise,East Midlands,chat,Reporting,how_to,Critical,Tuesday,13,0.0,189477.73,0,0.424,97,0,0,38.0,Ava,32,8.69,178,0,13.0,1.0,12.0,0,12.152032054460866,1.1515151515151516,0,0,16,0,1,17.38
SMB,London,web,Api Integration,bug,High,Wednesday,3,5.0,8121.74,0,-0.629,85,0,0,34.0,Noah,14,8.35,186,0,3.0,2.0,2.0,0,9.002422814659829,2.2666666666666666,1,0,13,0,0,15.15
SMB,Yorkshire,email,Mobile App,integration_failure,High,Thursday,12,41.0,7148.46,1,0.404,120,1,0,23.0,Noah,2,11.95,49,0,12.0,3.0,2.0,0,8.874792108360412,7.666666666666667,0,0,18,1,1,37.38
SMB,West Midlands,phone,Api Integration,billing_query,High,Monday,2,22.0,5611.49,2,0.178,143,0,1,44.0,Muhammad,9,7.69,67,0,2.0,0.0,1.0,0,8.632749750311728,4.4,0,0,20,0,1,29.09
SMB,West Midlands,email,Security,performance,High,Saturday,1,30.0,12789.91,1,0.787,101,0,0,23.0,Mia,18,35.15,177,0,1.0,5.0,9.0,1,9.456490041377313,1.2105263157894737,0,1,15,0,1,39.02
Mid-Market,London,phone,Workflow Automation,how_to,High,Saturday,23,12.0,21648.75,3,0.642,88,0,0,41.0,Leo,3,8.32,284,0,23.0,5.0,1.0,1,9.982749186019854,10.25,0,0,14,0,0,17.21
Public Sector,Wales,web,Workflow Automation,refund_request,Critical,Wednesday,14,15.0,20848.31,1,-0.84,140,1,1,53.0,Muhammad,29,13.83,237,0,14.0,2.0,2.0,0,9.945076133154165,1.7666666666666666,1,1,18,1,1,34.63
Enterprise,West Midlands,web,Reporting,service_outage,High,Sunday,6,38.0,22087.01,0,0.265,105,1,0,0.0,Sophie,31,0.84,96,0,6.0,6.0,1.0,1,10.002790206344404,0.0,0,0,16,1,1,23.22
SMB,Yorkshire,email,Account Access,performance,Medium,Monday,12,19.0,22484.64,1,1.0,101,0,0,35.0,Leo,1,2.47,74,0,12.0,0.0,9.0,0,10.02063216221979,17.5,0,0,14,1,0,23.9
Public Sector,London,chat,Billing,billing_query,Critical,Wednesday,16,49.0,24100.44,1,0.396,92,1,0,68.0,Oliver,19,4.5,325,0,16.0,2.0,2.0,0,10.09002686873107,3.4,0,0,14,1,1,29.04
Enterprise,Greater Manchester,phone,Billing,refund_request,Critical,Friday,6,23.0,47569.44,3,-0.156,123,0,1,17.0,Mia,12,1.91,42,0,6.0,4.0,12.0,0,10.769966838910564,1.3076923076923077,0,0,18,1,1,13.67
SMB,Wales,web,Payments,bug,Medium,Tuesday,21,24.0,14716.84,1,-0.046,86,0,0,25.0,Muhammad,1,0.71,60,0,21.0,1.0,1.0,0,9.596815642385193,12.5,0,0,13,0,0,12.8
Mid-Market,London,chat,Account Access,bug,High,Friday,12,25.0,13281.02,2,0.305,104,0,0,32.0,Sophie,37,3.5,152,0,12.0,4.0,10.0,0,9.494166519896845,0.8421052631578947,0,0,15,0,1,26.69
SMB,Greater Manchester,phone,Api Integration,billing_query,High,Friday,15,29.0,10685.18,1,-0.154,91,0,0,61.0,Sophie,14,1.27,164,0,15.0,4.0,10.0,0,9.27670659684525,4.066666666666666,0,0,14,0,0,21.59
SMB,South West,web,Billing,how_to,Medium,Saturday,6,44.0,7303.68,2,0.167,88,0,0,14.0,Amelia,32,10.74,75,0,6.0,5.0,11.0,1,8.896270517612711,0.42424242424242425,0,0,14,1,0,0.3
Mid-Market,West Midlands,chat,Mobile App,bug,High,Wednesday,20,24.0,4888.86,7,-0.103,76,0,0,40.0,Noah,10,1.22,142,0,20.0,2.0,12.0,0,8.494918952202225,3.6363636363636362,0,0,13,0,1,33.32
Mid-Market,London,email,Workflow Automation,how_to,Medium,Friday,1,36.0,28367.46,4,0.41,92,0,0,6.0,Sophie,16,7.7,130,0,1.0,4.0,9.0,0,10.253033243636553,0.35294117647058826,0,0,14,0,0,23.15
SMB,South West,email,Security,data_quality,High,Tuesday,15,11.0,12569.83,6,0.48,83,0,0,43.0,Ava,17,2.68,252,0,15.0,1.0,1.0,0,9.4391343296351,2.388888888888889,0,0,13,0,1,43.42
Public Sector,Northern Ireland,email,Mobile App,bug,Critical,Wednesday,10,3.0,41887.54,1,0.189,95,0,0,39.0,George,9,4.36,171,1,10.0,2.0,1.0,0,10.642767560146776,3.9,0,0,16,0,1,35.66
SMB,Yorkshire,chat,Billing,bug,High,Monday,10,41.0,5709.09,3,0.003,73,0,0,49.0,Ava,23,8.24,227,0,10.0,0.0,11.0,0,8.649990064347206,2.0416666666666665,0,0,12,0,1,40.28
SMB,Scotland,partner portal,Account Access,billing_query,Critical,Wednesday,19,26.0,15075.44,4,-1.0,128,0,1,29.0,Amelia,14,13.82,179,0,19.0,2.0,11.0,0,9.620888539421474,1.9333333333333333,1,1,18,1,1,14.36
SMB,West Midlands,email,Mobile App,bug,High,Tuesday,17,17.0,4138.48,0,-0.34,105,1,0,39.0,Mia,30,2.61,152,0,17.0,1.0,1.0,0,8.3283254550658,1.2580645161290323,0,0,17,1,0,13.97
